label,content,synonym_aug,back_translation
8,Please share maximumὄD Need Supplies Before 21st Nightὡ4 Maximum RetweetὤF #SHAREPLEASE #KeralaFloodRescue #KeralaFloods #KeralaFloodRelief #KeralaReliefFund #KeralaSOS #kerala #withkerala #StandWithKerala #Donate4Kerala #DonateForKerala #KeralaFloods2018,Please share maximumὄD Need Supply Before 21st Nightὡ4 Maximum RetweetὤF # SHAREPLEASE # KeralaFloodRescue # KeralaFloods # KeralaFloodRelief # KeralaReliefFund # KeralaSOS # kerala # withkerala # StandWithKerala # Donate4Kerala # DonateForKerala # KeralaFloods2018,Please share the maximum amount of aid needed before the 21st night4 Maximum retweet F # SHAREPLEASE # KeralaFloodRescue # KeralaFloodRelief # KeralaReliefFund # KeralaSOS # Kerala # withkerala # StandWithKerala # Donate4Kerala # DonateForKerala # KeralaFloods2018
3,RT @State_SCA: I am saddened to hear about the earthquake in northern #Pakistan. I extend my sympathies to all who were affected. AGW,RT @ State_SCA: Ane am saddened to hear astir the earthquake in northern # Islamic republic of pakistan. One extend my sympathies to all world health organization be affected. AGW,RT @ State _ SCA: It saddens me to hear of the earthquake in northern Pakistan. I extend my condolences to all those affected.
5,The cats have been obsessive about food for the last 36 hours. I suspect its related to the #eqnz,The cats consume been obsessional astir nutrient for the last 36 hours. I suspect information technology have to doe with to the # eqnz,The cats have been obsessed with food for the last 36 hours. I suspect it is related to the # eqnz.
8,"URGENT appeal! Pregnant woman and a 5 year old child stranded at Edanad, Chengannur. low on food &amp; supplies. No rescue teams in Edanad. Contact - Raj Nair-95441 5306, Near Edanad Temple #KeralaSOS #KeralaFloods ⁦⁦@thenewsminute⁩ #Edanad","URGENT appeal! Pregnant cleaning woman and a 5 yr honest to goodness child stranded at Edanad, Chengannur. low on solid food & amp; supplies. No rescue teams in Edanad. Contact - Raj Nair - 95441 5306, Near Edanad Tabernacle # KeralaSOS # KeralaFloods ⁦ ⁦ @ thenewsminute ⁩ # Edanad","Urgent appeal! Pregnant woman and 5-year-old child stranded in Edanad, Chenganonly. Lack of food & amp; supplies. No rescue teams in Edanad. Contact - Raj Nair-95441 5306, near Edanad Temple # KeralaSOS # KeralaFloods @ thenewsminute # Edanad"
1,RT @sos_children: SOS Childrens Villages has been on the ground protecting children in Ecuador since 1963,RT @ sos_children: sol Childrens Villages has be on the flat coat protecting children in Ecuador since 1963,RT @ sos _ children: SOS children's villages have been in place since 1963 to protect children in Ecuador
7,Important tool for #ymm evacuees #ymmfire #AlbertaStrong,Important tool for # ymm evacuee # ymmfire # AlbertaStrong,Important tool for # ymm evacuees # ymmfire # AlbertaStrong
1,"Bihars Ex-Health Minister @TejYadav14 has pledged to help the flood victims in Kerala. On August 21, at 9 in the morning, he will walk from home with his 20 supporters and reach #Kerala after a long journey of about 29 days. #KeralaFloods","Bihar Ex - Wellness Minister @ TejYadav14 has pledged to help the flood victims in Kerala. On August 21, at 9 in the daybreak, he will walk from home with his 20 champion and reach # Kerala after a long journeying of astir 29 days. # KeralaFloods",Bihar's former health minister @ TejYadav14 has promised to help flood victims in Kerala. On August 21st at 9am he will leave home with his 20 supporters and after a long journey of about 29 days reach # Kerala. # KeralaFloods
3,"RT @PJayAlu: Praying for the peace and comfort of Almighty God over all those affected by the tragic earthquake in Amatrice, Italy. ❤ #Pray","RT @ PJayAlu: Praying for the peace and comfort of Divine God over completely those affected by the tragical seism in Amatrice, Italy. ❤ # Pray","RT @ PJayAlu: Pray for the peace and comfort of Almighty God for all those affected by the tragic earthquake in Amatrice, Italy. ❤ # Pray"
1,@DrPramodSawant2 @GoaBJP #GoaMining Dr.Pramod Sawant voluntarily participated and appreciated the joint efforts of the mining people and JCI Sanquelim for fund raising efforts in aid of kerala flood victims. Great leadership from him.,@ DrPramodSawant2 @ GoaBJP # GoaMining Dr. Pramod Sawant voluntarily participated and appreciated the joint efforts of the mining people and JCI Sanquelim for fund raising elbow grease in assistance of kerala flood dupe. Great leaders from him.,@ DrPramodSawant2 @ GoaBJP # GoaMining Dr.Pramod Sawant volunteered and paid tribute to the joint efforts of the miners and JCI Sanquelim to raise funds for flood victims in Kerala. Great leadership from him.
8,BERNAMA - 1.3 Million Children Desperately Need Help After Cyclone Mora  #lka #srilanka,BERNAMA - one. triplet Zillion Kid Desperately Need Help After Cyclone Mora # lka # srilanka,BERNAMA - 1.3 million children in urgent need of help following Cyclone Mora # lka # srilanka
3,"i am listening to the news and im totally shooked, i just wanna cry #terremoto #ItalyEarthquake #prayforitaly","unity am listening to the news and im totally shooked, i just wanna cry # terremoto # ItalyEarthquake # prayforitaly","I hear the news and I'm in total shock, I just want to cry # terremoto # italyEarthquake # prayforitaly"
5,Kim Kardashian Explained Why She Hired Private Firefighters Amid The California Wildfires — VIDEO,Kim Kardashian Explained Wherefore She Hired Private Firefighters Amid The California Wildfires — VIDEO,Kim Kardashian explains why she hired private firefighters amid California wildfires - VIDEO
1,I hope you enjoyed my tweets so far! Did I earn a cup of coffee?? Do I make you laugh? If I did please consider buying me a cup of coffee here  Ἑ8100% of the money will go to victims of California Fires!,I hope you enjoyed my tweets so far! Did I earn a loving cup of coffee? ? Do One make you laugh? If I did delight look at buying me a cup of deep brown here Ἑ8100% of the money will blend in to victims of California Fires!,I hope you've enjoyed my tweets so far! Did I deserve a cup of coffee?? Do I make you laugh? If I would please consider buying a cup of coffee here? 8100% of the money will go to the victims of the fires in California!
7,Fort McMurray wildfire evacuation included transfer of 9 prisoners to Edmonton: Fort McMurray court appearances,Fort McMurray wildfire excretion included conveyance of 9 captive to Edmonton: Garrison McMurray court appearances,The evacuation of Fort McMurray included the transfer of 9 prisoners to Edmonton: court appearance in Fort McMurray
5,@GyaanKa @Kaalateetham Yes old only. But look at the thing. If same was happening in Kerala flood relief means?,@ GyaanKa @ Kaalateetham Yes old only. Just face at the thing. If like be happening in Kerala flood relief means?,"@ GyaanKa @ Kaalateetham Yes, just old. But look at the thing. If the same thing happened in Kerala, does flood relief mean?"
7,#CampFire evacuees asked to leave #Chico #Walmart #tentcity  #SmartNews,# CampFire evacuees ask to leave alone # Chico # Walmart # tentcity # SmartNews,# CampFire evacuees told to leave # Chico # Walmart # tentcity # SmartNews
1,"Im raising money for Floods in Missouri, Nebraska and Iowa. Click to Donate:  via @gofundme","Im conjure up money for Floods in Missouri river, Nebraska and Iowa. Click to Donate: via @ gofundme","I am raising money for floods in Missouri, Nebraska and Iowa. Click on donations: via @ gofundme"
4,Alert for aftershocks of recent #earthquake in Pakistan.,Alert for aftershocks of late # earthquake in Pakistan.,Warning of aftershocks from recent # earthquake in Pakistan.
5,can this guys presidency just be over already? how do you blame the victims of a FIRE?,can this guys presidency merely be o'er already? how do you blame the victims of a FIRE?,Can this Presidency already be over? How can we blame the victims of a fire?
1,RT @BlueSea1964: Ὢ8 White House: #Trump Is Sending Rescue Teams To Mexico After Earthquake,RT @ BlueSea1964: Ὢ8 White Star sign: # Trump Is Sending Rescue Team To United mexican states After Earthquake,RT @ BlueSea1964: 8 White House: # Trump sends rescue teams to Mexico after earthquake
8,"IMPORTANT. While the #KeralaFloods are fading from the news channels and newspapers, the situation on the ground is still DIRE. Many many people are still in desperate need. This is a long road. Please urge everyone you know, to donate to  #RebuildKerala","IMPORTANT. While the # KeralaFloods are blow over from the news channels and newspapers, the situation on the ground is even so DIRE. Many many mass are still in desperate need. This is a long road. Please urge everyone you bed, to donate to # RebuildKerala","IMPORTANT. As the # Kerala floods disappear from the news channels and newspapers, the situation on the ground is still YOU. Many people are still in desperate need. This is a long way. Please ask everyone you know to donate to # RebuildKerala."
1,"RT @andreas212nyc: From @airbnb_it to @crocerossa + @niaforg, how to help those affected by the #earthquake in Italy","RT @ andreas212nyc: From @ airbnb_it to @ crocerossa + @ niaforg, how to help those affected by the # earthquake in Italy",RT @ andreas212nyc: From @ airbnb _ it to @ crocerossa + @ niaforg on how to help those affected by the # earthquake in Italy
6,"#US #PresidentTrump blames forest mismanagement, threatens to cut funding as two huge wildfires burn in out of control in #California; killing 9 in the town of Paradise razed to the ground by flames","# US # PresidentTrump blame forest mismanagement, threaten to slue funding as deuce huge wildfires burn off in out of mastery in # California; killing ix in the town of Paradise razed to the ground by flames","# US # PresidentTrump blames mismanagement in the forest and threatens to cut funding as two huge wildfires get out of control in # California; nine people have been killed in the town of Paradise, which was razed to the ground by the flames."
7,RT @PaladinDonMac: Absolutely unbelievable work by #AHS staff to evacuate #patients to safety in the midst of raging Fort Mac wildfire http,RT @ PaladinDonMac: Absolutely improbable work by # AHS staff to empty # patients to safety in the thick of raging Fort Mackintosh wildfire hypertext transfer protocol,RT @ PaladinDonMac: Absolutely incredible work of # AHS staff to # move patients to safety amid raging Fort Mac wildfire http: / / www.paladindonmac
3,"RT @ohmycastieel: sorry to bother but if you can, please donate @GemmaAnneStyles @fizfizfiz @lottietommo @JohannahDarling @TheAnneCox http","RT @ ohmycastieel: sorry to bother but if you stool, delight donate @ GemmaAnneStyles @ fizfizfiz @ lottietommo @ JohannahDarling @ TheAnneCox http","RT @ ohmycastieel: Sorry, but if you can, please donate @ GemmaAnneStyles @ fizfizfiz @ lottietommo @ JohannahDarling @ TheAnneCox http"
4,Additional cess for flood-hit Kerala may get diluted at GST meeting,Additional cess for flood - hit Kerala may get thin at GST meeting,Extra cash for flood-hit Kerala could be watered down at GST meetings
8,"@NEGameandParks is looking for volunteers to help with the 2019 northern pike surveys/tagging at Lake Wanahoo. Two crews will run each day from Tuesday, March 26-Friday, March 29. For more information, please contact Jordan Katt at (402) 405-4582 or jordan.katt@nebraska.gov","@ NEGameandParks exist looking for volunteers to help with the 2019 northern pike resume / tail at Lake Wanahoo. Two crews will ladder each day from Tuesday, March 26 - Friday, March 29. For more information, please contact Jordan Katt at (402) 405 - 4582 beaver state jordan. katt @ nebraska. gov","@ NEGameandParks is looking for volunteers to help with the 2019 Northern Pike Surveys / Tagging at Lake Wanahoo. Two crews will start every day from Tuesday, March 26 to Friday, March 29. For more information, please contact Jordan Katt at (402) 405-4582 or jordan.katt @ nebraska.gov"
4,RT @meiheron: This means higher probability of more severe aftershocks and for a longer period of time #eqnz,RT @ meiheron: This means gamey chance of more severe aftershock and for a long flow of time # eqnz,RT @ meiheron: This means a higher probability of more severe aftershocks and for a longer period of time # eqnz
1,Transferred 10000 INR as a small support from my side to Kerala flood relief fund. #KeralaFloods #KeralaFloodReliefFund #KeralaFloodRescue #KeralaReliefFund,Transferred 10000 bureau of intelligence and research as a belittled support from my side to Kerala overflow relievo fund. # KeralaFloods # KeralaFloodReliefFund # KeralaFloodRescue # KeralaReliefFund,Transferred 10000 INR as small support from my side to the Kerala Flood Relief Fund. # KeralaFloods # KeralaFloodReliefFund # KeralaFloodRescue # KeralaReliefFund
7,Tough day.for the evacuees who have to go through this #ymmfire #FortMacFire,Toughened day. for the evacuees world health organization have to go done this # ymmfire # FortMacFire,Tough day for the evacuees going through this # ymmfire # FortMacFire
8,NEBRASKA HAY FLOOD RELIEF DONATIONS NEEDED!,cornhusker state HAY FLOOD RELIEF contribution NEEDED!,NEBRASKA HAY FLOOD RELIEF DONATIONS NEEDED!
2,"5.8 magnitude earthquake shakes Pakistan, widespread damage reported in Azad Kashmir #Earthquake #Pakistan #EarthquakeInPakistan #Islamabad #Rawalpindi #Peshawar #Lahore","five. 8 magnitude quake milkshake West pakistan, widespread harm report in Azad Kashmir # Seism # Pakistan # EarthquakeInPakistan # Islamabad # Rawalpindi # Peshawar # Lahore","5.8 magnitude earthquake shakes Pakistan, major damage reported in Azad Kashmir # earthquake # Pakistan # earthquake in Pakistan # Islamabad # Rawalpindi # Peshawar # Lahore"
5,"What Kerala CM Pinarayi Vijayan?It is the Armed Forces, which Ur party custards abuse day&amp;night along with RSS, Sikh volunteers &amp; ordinary ppl who toiled 24/7 &amp; deserves applause, not Ur Quisling party thugs &amp; supporters busy creating North-South divide:","What Kerala CM Pinarayi Vijayan? It equal the Armed Force, which Ur political party custard abuse day & amp; night along with RSS, Sikh volunteers & amp; ordinary ppl who moil twenty four / 7 & amp; deserves applause, not Ur Quisling party thugs & amp; supporters busy produce North - South water parting:","As for Kerala CM Pinarayi Vijayan, it is the armed forces who berate the original partisans day & amp; night, along with RSS, Sikh volunteers & amp; ordinary ppl who toiled around the clock & amp; deserve round-the-clock applause, not the thugs of the original Quisling Party & amp; supporters who are busy creating a north-south divide:"
4,"RT @justinCgio: After a week of (somewhat) good news out of Fort Mac, today wasnt that day. Fires derail recovery plans.","RT @ justinCgio: After a hebdomad of (somewhat) good tidings tabu of Fort Mack, today wasnt that clarence day. Fires derail recovery program.","RT @ justinCgio: After a week of (some) good news from Fort Mac, today wasn't the day. Fires derail reconstruction plans."
7,RT @globalwinnipeg: Cottagers head back home as wildfire evacuation lifted in Whiteshell #manitobawildfires,RT @ globalwinnipeg: Cottagers manoeuver back home as wildfire evacuation lifted in Whiteshell # manitobawildfires,RT @ globalwinnipeg: Cottagers return home as evacuation lifted by wildfires in Whiteshell # manitobawildfires
8,ONGC is giving medicines &amp; other basic necessities #ONGCForKerala,ONGC is return medicine & amp; former basic necessities # ONGCForKerala,ONGC Gives Drugs & amp; Other Basic Needs # ONGCForKerala
1,"We stan the people who told us to give back to the society and so we followed their words once again! @BTSTamilNaduARMY contributed 25,600 INR for Kerala Flood Relief and the portion was divided! @BTS_twt You inspire us! @BangtanINDIA @BTS_IndianARMYs @RollingStoneIN","We stan the people who narrate atomic number 92 to give back to the society and so we followed their speech once again! @ BTSTamilNaduARMY contributed 25, 600 INR for Kerala Overflow Relief and the portion was divided! @ BTS_twt You inspire u! @ BangtanINDIA @ BTS_IndianARMYs @ RollingStoneIN","We followed the people who told us to give something back to society and so we followed their words again! @ BTSTamilNaduARMY donated 25,600 INR to the Kerala flood relief and the share was shared! @ BTS _ twt You inspire us! @ BangtanINDIA @ BTS _ IndianARMYs @ RollingStoneIN"
4,"Snake Alert in Kerala as People Return Home in Flood Ravaged State, Hospitals Stocking Anti-Venom","Hydra Alert in Kerala as People Return Home in Flood lamp Ravaged State, Hospital Stocking Anti - Venom",Snake alert in Kerala as people return home in flooded state and hospitals stockpile toxins
7,"#Campfire evacuees line up for hours to get mail, paychecks in Chico  by @JosephSerna","# Campfire evacuees agate line up for time of day to get mail, paycheck in Chico by @ JosephSerna",# Campfire evacuees queue for hours to get mail and paychecks in Chico from @ JosephSerna
6,"RT @YahooNews: Death toll from earthquake that struck Ecuador rises to 262, government minister says","RT @ YahooNews: Expiry toll from earthquake that struck Republic of ecuador rise to 262, politics minister suppose",RT @ YahooNews: Death toll from Ecuador earthquake rises to 262
5,Trump threatens to pull federal funding for California wildfires over gross mismanagement this shows that he is Not president for All Americans.,Trump card threatens to pull union backing for California wildfires over everlasting misdirection this shows that he is Non chairperson for All Americans.,"Trump has threatened to withdraw federal funding for wildfires in California because of gross mismanagement, showing that he is not president for all Americans."
1,"DISASTER RECOVERY CENTER: Camp Fire Disaster Recovery Center (formerly Local Assistance Center) is located at the Chico Mall (former Sears Building) -1982 E. 20th Street, Chico, CA 95928. The Center will be open daily from 9:00 a.m. to 7:00 p.m.","catastrophe RECOVERY CENTER: Pack Fire Catastrophe Recovery Center (formerly Topical anaesthetic Assistance Center) is located at the Chico Mall (former Sears Building) - 1982 Vitamin e. twentieth Street, Chico, CA 95928. The Center will be open day by day from 9: 00 a. m. to sevener: 00 p. m.","DISASTER RECOVERY CENTER: The Camp Fire Disaster Recovery Center (formerly Local Assistance Center) is located at Chico Mall (formerly Sears Building) -1982 E. 20th Street, Chico, CA 95928. The center is open daily from 9: 00 a.m. to 7: 00 p.m."
7,"Canadians Affected by Wildfire Could Return Home Soon - Some of the 80,000 people forced to flee Fort McMurray","Canadian river Affected by Wildfire Could Return Plate Soon - Some of the fourscore, 000 hoi polloi forced to fly Fortress McMurray","Canadians affected by wildfire may soon return home - Some of the 80,000 people forced to flee Fort McMurray"
2,"12,263 structures destroyed, too. That number is so large, I don’t think people can really wrap their heads around it.","12, 263 structures destroy, too. That figure make up so large, I get into ’ t think people can very enfold their nous around information technology.","There are also 12,263 structures destroyed. This number is so large that I do not think people can really care about it."
5,"Idiot on #Fox #Doocy smugly said there was #flooding in #Nebraska once fifty years ago .,.. oh yeah thats a great argument to counter #Climatechange if you are a dumb f*ck  oh yeah  you are @SteveDoocy Douchey","Idiot on # Fox # Doocy smugly said thither embody # flooding in # Nebraska once fifty years ago. ,. . oh yeah thats a great contestation to counter # Climatechange if you are a dim degree fahrenheit * ck oh yeah you be @ SteveDoocy Douchey","Idiot on # Fox # Doocy said smugly that there was flooding in # Nebraska once fifty years ago... oh yeah, that's a great argument against # Climatechange if you're a stupid f * ck oh yeah @ SteveDoocy Douchey"
6,"Death toll in Kerala increased to 300+ today, the lives of millions of people remain paralyzed. Incessant rains, overflowing rivers and landslides have left many severely injured and all 14 districts in Kerala, under water @RahulGandhi @Allavaru #KeralaFloods","Death toll in Kerala increase to 300 + today, the life of millions of people remain paralyzed. Incessant rains, overflowing rivers and landslides have entrust many severely injured and all 14 district in Kerala, under weewee @ RahulGandhi @ Allavaru # KeralaFloods","The death toll in Kerala has now risen to over 300 and the lives of millions of people remain paralysed. Constant rains, overflowing rivers and landslides have left many seriously injured and all 14 districts in Kerala are under water @ RahulGandhi @ Allavaru # KeralaFloods"
4,"Tsunami warning, everyone in NZ is running for the hills! #eqnz","Tsunami warning, everyone in NZ constitute ply for the hill! # eqnz","Tsunami warning, everyone in New Zealand running for the hills! # eqnz"
7,"@IAF_MCC @nsitharaman @adgpi @DefenceMinIndia @DrSubhashMoS @SpokespersonMoD @nsitharamanoffc @PMOIndia @PIB_India @indiannavy Thank you, lakhs of people are still stucked in concrete buildings without food and drinking water.. increase the fleet of rescue and please do the evacuation quick. #SOSKerala #KeralaFloods #HelpKerala","@ IAF_MCC @ nsitharaman @ adgpi @ DefenceMinIndia @ DrSubhashMoS @ SpokespersonMoD @ nsitharamanoffc @ PMOIndia @ PIB_India @ indiannavy Thank you, lakhs of people are still stucked in concrete buildings without food and imbibition water. . increase the fleet of rescue and delight make the emptying quick. # SOSKerala # KeralaFloods # HelpKerala","@ IAF _ MCC @ nsitharaman @ adgpi @ DefenceMinIndia @ DrSubhashMoS @ SpokespersonMoD @ nsitharamanoffc @ PMOIndia @ PIB _ India @ indiannavy Thank you, lakhs of people are still crammed into concrete buildings without food and drinking water.. Enlarge the fleet of rescues and please make the evacuation quick. # SOSKerala # KeralaFloods # HelpKerala"
4,Reminder that a tornado drill will take place in Iowa and Nebraska during the 10 o’clock hour this morning. The sirens will not sound in Woodbury County due to ongoing flood efforts.,Reminder that a tornado drill volition bring place in Ia and Nebraska during the 10 oxygen ’ clock time of day this morning. The siren will not fathom in Woodbury County ascribable to ongoing deluge efforts.,Remember that there will be a tornado drill in Iowa and Nebraska this morning at 10 a.m. The sirens will not be sounding in Woodbury County because of ongoing flooding efforts.
7,"Homelessness has gone up, thousands of Californians are displaced due to the wildfires yet dems want people rushing into the country to be taken care of before actual citizens??","Homelessness has go up, thousands of Californians be give the sack due to the wildfires even so dems want the great unwashed rushing into the rural area to be taken care of earlier actual citizen??","Homelessness has risen, thousands of Californians are fleeing the wildfires, but do they want the people pouring into the country to be sheltered from the real citizens?"
6,At least 9 people died from the massive wildfires. Show a little fucking compassion. Youre the reason why youre party lost so badly on Tuesday. Deadweight.,At least 9 people died from the monumental wildfire. Show a little flaming pity. Youre the reasonableness wherefore youre company lost so ill on Tuesday. Deadweight.,At least 9 people died in the massive wildfires. Show some damn compassion. That's why your party lost so badly on Tuesday. Death weight.
2,Teams from἞E἟1἟2἟D἟A἟8἞F἟5 working at site of ruins of a six-story building that collapsed in Condesa. #MexicoEarthquake #FuerzaMexico,Teams from ἞ East ἟ unity ἟ deuce ἟ D ἟ A ἟ 8 ἞ F ἟ v working at site of ruins of a six - story building that collapsed in Condesa. # MexicoEarthquake # FuerzaMexico,Teams from E12DA8F5 work on the rubble of a six-story building that collapsed in Condesa. # MexicoEarthquake # FuerzaMexico
6,The death toll from the California Camp wildfire hits 84 as authorities say that blaze is 95% contained,The expiry toll from the California Ingroup wildfire smash 84 as bureau say that blaze is 95% stop,Death toll from wildfire in California camp rises to 84 as authorities say fire is 95% contained
1,"#KeralaFloods | Were sending 25 trucks consisting of 7 MT of relief material including eatables and water. Itll be taken to Trivandrum via Airforce planes. I thank all who have contributed in providing relief material, well keep sending more: UP CM #YogiAdityanath in Lucknow","# KeralaFloods | Were sending xxv trucks consisting of 7 MT of relief material including victual and water. Itll be taken to Trivandrum via Airforce planes. I thank all who have contributed in put up relief material, well maintain sending to a greater extent: UP CM # YogiAdityanath in Lucknow","# KeralaFloods | We sent 25 trucks consisting of 7 MT supplies, including food and water, to Trivandrum by Air Force aircraft. I thank everyone who helped to provide supplies and forward: UP CM # YogiAdityanath in Lucknow"
2,Cook Strait ferries are cancelled all day - damage at Wellington and Picton is being assessed. #eqnz,Cook Strait ferry represent cancel all mean solar day - damage at Wellington and Picton be cost assessed. # eqnz,Cook Strait ferries are cancelled all day - damage in Wellington and Picton is being assessed. # eqnz
7,Wildfire-sparked evacuation orders lifted at all Canadian work camps  via @Reuters,Wildfire - trigger evacuation ordination lifted at all Canadian work camps via @ Reuters,Fire-triggered evacuation orders lifted in all Canadian labor camps via @ Reuters
6,"RT @CeylonMessenger: Death toll from floods, landslides rises to 211 #lka #FloodSL #Flood2017SL #2017","RT @ CeylonMessenger: Death cost from deluge, landslides rises to 211 # lka # FloodSL # Flood2017SL # 2017","RT @ CeylonMessenger: Death toll from floods, landslides rises to 211 # lka # FloodSL # Flood2017SL # 2017"
5,RT @edmac78: Sad to see images from yesterdays earthquake in my home country,RT @ edmac78: Sad to watch images from yesterday earthquake in my dwelling country,RT @ edmac78: Sad to see pictures of yesterday's earthquake in my homeland
3,Since the land is seeing so much Zulm. Azaab e Ilahi was imminent. May Allah forgive us all.,Since the land is seeing so much Zulm. Azaab e Ilahi be close at hand. May Allah forgive us all.,Because the country sees so much Zulm. Azaab e Ilahi was imminent. May Allah forgive us all.
7,"Wildfire prompts evacuation order in northeastern B.C.: More than 100 firefighters are battling the blaze, al","Wildfire prompts emptying order in northeasterly B. C. : More than than 100 firefighter are battling the hell, al",Wildfire triggers evacuation order in Northeast B.C. as more than 100 firefighters battle flames
5,"First thing POTUS said to Governor elect Newsome of California. Speaking of fires, do you know my oldest son is putting it to your ex-wife ?","First thing POTUS said to Governor elect Newsome of California. Public speaking of fire, practice you know my sometime son is couch it to your passee - wife?","The first thing POTUS said to the governor-elect of Newsome of California: Speaking of fires, do you know that my eldest son puts them in front of your ex-wife?"
7,RT @jackyan: Here are the #tsunami evacuation zones for Lyall Bay to Evans Bay. #eqnz,RT @ jackyan: Here personify the # tsunami elimination zones for Lyall Embayment to Evans Bay. # eqnz,RT @ jackyan: Here are the # tsunami evacuation zones from Lyall Bay to Evans Bay. # eqnz
3,RT @IAmJohnSparks: RETWEET &amp; Pray for Victims of the Devastating Earthquake in Ecuador!,RT @ IAmJohnSparks: RETWEET & amp; Pray for Victim of the Devastating Temblor in Ecuador!,RT @ IAmJohnSparks: RETWEET & amp; Pray for the victims of the devastating earthquake in Ecuador!
2,An electric safety incident was reported by PG&amp;E around 6:15am near where the Camp Fire started. Technicians on aerial patrol saw damage to a transmission tower about one mile from the town of Pulga in the area of the fire.,An electric safety incident was reported by PG & a; E around six: 15am near where the Camp Blast started. Technician on aerial patrol saw damage to a transmittal tower astir one mile from the town of Pulga in the area of the fire.,"At about 6: 15 a.m., PG & amp; E reported an electrical safety incident near the scene of the fire, and air patrol technicians saw damage to a transmitter pole in the fire area, about a mile from the town of Pulga."
5,"During the #keralafloods, many kind, brave souls came to the aid of our animal kin- from cats &amp; dogs to crocs &amp; snakes! On behalf of all the lives you touched: Thank You, dear guardian angels. Story: @tinastories Animation: the fabulous Krishna Chandran @kc_kc_kc #ReBuildKerala","During the # keralafloods, many kind, brave soul came to the aid of our fleshly kin - from cats & amp; dogs to crocs & amp; serpent! On behalf of all the sprightliness you touched: Thank You, dear guardian angels. Story: @ tinastories Animation: the mythological Krishna Chandran @ kc_kc_kc # ReBuildKerala","During the # keralafloods many kind, brave souls of our species came to the rescue - from cats & amp; dogs to crocodiles & amp; snakes! On behalf of all the lives you touched: Thank you dear guardian angels. Story: @ tinastories Animation: the fabulous Krishna Chandran @ kc _ kc _ kc # ReBuildKerala"
6,RT @itsBreeazy: At least 25 reported dead due to the California fires. Praying for those families who have been and still are being affecte,RT @ itsBreeazy: At least 25 reported beat due to the California fires. Beg for those families world health organization have be and yet are live affecte,RT @ itsBreeazy: At least 25 reported deaths from the California fires. We pray for the families who have been affected and are still affected.
8,"RT @dinesh_rajini: Anyone please help them. #KeralaSOS, #KeralaFloods , #KeralaFloods,#Kerala , #KeralaFloodRelief","RT @ dinesh_rajini: Anyone please facilitate them. # KeralaSOS, # KeralaFloods, # KeralaFloods, # Kerala, # KeralaFloodRelief","RT @ dinesh _ rajini: Everyone please help them. # KeralaSOS, # KeralaFloods, # KeralaFloods, # Kerala, # KeralaFloodRelief"
1,RT @DylanByers: New @CNN: Facebook donates $1 million to aid victims of Mexico earthquake  via @jackiewattles,RT @ DylanByers: New @ CNN: Facebook donate $ one meg to assistance dupe of Mexico earthquake via @ jackiewattles,RT @ DylanByers: New @ CNN: Facebook donates $1 million to victims of Mexico earthquake via @ jackiewattles
5,@realDonaldTrump Do you have any idea why California is having so many wild fires this year?,@ realDonaldTrump Do you take any idea wherefore California is having so many wild ardour this yr?,@ realDonaldTrump Do you have any idea why California has so many wildfires this year?
7,World War II veteran adopted by California couple after wildfires displace him  #FoxNews There is still good in this world after all.,Reality War deuce veteran adopted by California couple after wildfire displace him # FoxNews In that location be notwithstanding good in this world after all.,The World War II veteran was adopted by a California couple after wildfires displaced him # FoxNews There are still good things in this world.
5,Ohio County GOP Chair: Deadly Wildfires Are ‘God’s Punishment To Liberal California’ - Deplorable: Ohio County GOP Chair Dave Johnson claims the deadly wildfires ravaging California are God’s punishment” for being a liberal state.,Ohio County republican party Chair: Deadly Wildfire Are ‘ God ’ s Punishment To Liberal California ’ - Deplorable: Buckeye state County republican party Chair Dave Johnson claims the pestilent wildfires ravaging California are Idol ’ s punishment ” for personify a liberal state.,"Ohio County GOP Chair: Deadly wildfires are ""God's punishment for liberal California"" - Deplorable: Ohio County Republican Party Chairman Dave Johnson claims that the deadly wildfires ravaging California are ""God's punishment"" for being a liberal state."
4,Tsunami warning: we are evacuating Akita and Herbertville residents. Please stay away from coastal areas and listen to your radio.,Tsunami admonition: we be evacuating Akita and Herbertville resident. Please stay away from coastal region and mind to your radio.,Tsunami warning: We are evacuating the residents of Akita and Herbertville. Please stay away from coastal areas and listen to the radio.
6,2 confirmed dead as crews brace for return of Santa Ana winds in Ventura County fires,two confirmed dead as crews brace for return of Santa Ana winds in Ventura County fire,Two confirmed dead as crews prepare to return Santa Ana winds from Ventura County fires
8,"Please someone, anyone help us.","Please individual, anyone helper united states.","Someone to help us, please."
3,May God bless who are injured #earthquake,Crataegus oxycantha God bless world health organization are injured # earthquake,May God bless the injured # earthquake
